Datum,URL,Umfang,Methode,Partei,Anteil
2016-07-06,FORSA,2504,"",CDU/CSU,35.0
2016-07-07,DIMAP,1504,"",CDU/CSU,34.0
2016-07-09,EMNID,1402,"",CDU/CSU,35.0
2016-07-13,FORSA,2503,"",CDU/CSU,36.0
2016-07-15,DIMAP,1037,"",CDU/CSU,33.0
2016-07-16,EMNID,1973,"",CDU/CSU,35.0
2016-07-20,FORSA,2502,"",CDU/CSU,35.0
2016-07-23,EMNID,1870,"",CDU/CSU,35.0
2016-07-26,FORSA,2508,"",CDU/CSU,35.0
2016-07-30,EMNID,2815,"",CDU/CSU,35.0
2016-08-03,FORSA,2508,"",CDU/CSU,35.0
2016-08-04,DIMAP,1503,"",CDU/CSU,34.0
2016-08-06,EMNID,2815,"",CDU/CSU,34.0
2016-08-10,FORSA,2501,"",CDU/CSU,36.0
2016-08-13,EMNID,2352,"",CDU/CSU,34.0
2016-08-17,FORSA,2501,"",CDU/CSU,36.0
2016-08-20,EMNID,2358,"",CDU/CSU,34.0
2016-08-24,FORSA,2504,"",CDU/CSU,35.0
2016-08-26,DIMAP,1008,"",CDU/CSU,33.0
2016-08-27,EMNID,1981,"",CDU/CSU,34.0
2016-08-31,FORSA,2503,"",CDU/CSU,33.0
2016-09-01,DIMAP,1504,"",CDU/CSU,33.0
2016-09-03,EMNID,1966,"",CDU/CSU,34.0
2016-09-07,FORSA,2501,"",CDU/CSU,33.0
2016-09-10,EMNID,2423,"",CDU/CSU,33.0
2016-09-14,FORSA,2501,"",CDU/CSU,32.0
2016-09-17,EMNID,2780,"",CDU/CSU,32.0
2016-09-21,FORSA,2504,"",CDU/CSU,33.0
2016-09-23,DIMAP,1018,"",CDU/CSU,32.0
2016-09-24,EMNID,2798,"",CDU/CSU,32.0
2016-09-28,FORSA,2506,"",CDU/CSU,33.0
2016-10-01,EMNID,1939,"",CDU/CSU,32.0
2016-10-05,FORSA,2503,"",CDU/CSU,33.0
2016-10-06,DIMAP,1503,"",CDU/CSU,33.0
2016-10-08,EMNID,1866,"",CDU/CSU,32.0
2016-10-12,FORSA,2004,"",CDU/CSU,34.0
2016-10-15,EMNID,2827,"",CDU/CSU,32.0
2016-10-19,FORSA,2505,"",CDU/CSU,34.0
2016-10-20,DIMAP,1018,"",CDU/CSU,33.0
2016-10-22,EMNID,1961,"",CDU/CSU,33.0
2016-10-26,FORSA,2504,"",CDU/CSU,35.0
2016-10-29,EMNID,1840,"",CDU/CSU,34.0
2016-11-02,FORSA,2503,"",CDU/CSU,34.0
2016-11-03,DIMAP,1505,"",CDU/CSU,33.0
2016-11-05,EMNID,1678,"",CDU/CSU,34.0
2016-11-09,FORSA,2503,"",CDU/CSU,34.0
2016-11-12,EMNID,2782,"",CDU/CSU,34.0
2016-11-16,FORSA,2503,"",CDU/CSU,35.0
2016-11-18,DIMAP,1014,"",CDU/CSU,32.0
2016-11-19,EMNID,2859,"",CDU/CSU,33.0
2016-11-23,FORSA,2505,"",CDU/CSU,36.0
2016-11-26,EMNID,2426,"",CDU/CSU,35.0
2016-11-30,FORSA,2503,"",CDU/CSU,37.0
2016-12-03,EMNID,2658,"",CDU/CSU,37.0
2016-12-07,FORSA,2501,"",CDU/CSU,36.0
2016-12-08,DIMAP,1504,"",CDU/CSU,35.0
2016-12-10,EMNID,2426,"",CDU/CSU,36.0
2016-12-14,FORSA,2506,"",CDU/CSU,37.0
2016-12-16,DIMAP,1005,"",CDU/CSU,36.0
2016-12-17,EMNID,2411,"",CDU/CSU,36.0
2016-12-20,FORSA,2502,"",CDU/CSU,36.0
2016-12-24,EMNID,2326,"",CDU/CSU,36.0
2016-12-28,FORSA,2504,"",CDU/CSU,38.0
2017-01-04,FORSA,2001,"",CDU/CSU,37.0
2017-01-05,DIMAP,1505,"",CDU/CSU,37.0
2017-01-07,EMNID,834,"",CDU/CSU,38.0
2017-01-11,FORSA,2501,"",CDU/CSU,37.0
2017-01-14,EMNID,1878,"",CDU/CSU,37.0
2017-01-18,FORSA,2503,"",CDU/CSU,38.0
2017-01-21,EMNID,2805,"",CDU/CSU,36.0
2017-01-25,FORSA,2504,"",CDU/CSU,37.0
2017-01-27,DIMAP,1029,"",CDU/CSU,35.0
2017-01-28,EMNID,1996,"",CDU/CSU,37.0
2017-02-01,FORSA,2502,"",CDU/CSU,35.0
2017-02-02,DIMAP,1506,"",CDU/CSU,34.0
2017-02-04,EMNID,2233,"",CDU/CSU,33.0
2017-02-08,FORSA,2501,"",CDU/CSU,34.0
2017-02-11,EMNID,1966,"",CDU/CSU,33.0
2017-02-15,FORSA,2502,"",CDU/CSU,34.0
2017-02-18,EMNID,1885,"",CDU/CSU,32.0
2017-02-22,FORSA,2502,"",CDU/CSU,34.0
